file,package,covered_pct,branch_pct,num_statements,missing_lines_count,uncovered_ranges
qmb\src\qmb\results\charts.py,qmb,69.75,57.54,782,188,"105,111,138,144,150,153,265,272,278,284,291,293,300,356,409,412,415,417,423,429,439,445,448,451,454,457,462,465,471,477,486,514,529,537,560,565,569,572,575,579,582,587,590,595,602,605,610,616,626,640,648,657-658,664,678,688,704-705,708,716,719,754,764-772,780-782,797,799,802,805,810,813,819,847,856,884,887,892,897,900,905,908,916,922,931,938,956,961,965-968,975,982,1002-1005,1011,1016,1020,1025,1035,1045,1047,1055,1062,1064,1066,1077-1078,1085-1089,1095-1097,1103,1105,1107,1119,1129-1132,1138,1140,1142,1153-1154,1160-1164,1172-1174,1180,1182,1184,1210,1212,1219-1221,1227-1228,1234-1235,1241,1243,1251,1258,1272-1277,1288-1293,1304,1307-1309,1311,1317,1324,1340,1349,1358,1377,1390"
qml\src\qml\conformance\layer2.py,qml,70.0,58.0,290,69,"82,103,112,115,118,123,126,129,132,136,141,144,150,153,156,209,257,289,293,296,299,302,305,364,381,391,408-410,454,474,496,535,548,560,573,584,586,592,600,606,608,616-620,626-632,637-638,644-645,650,656,658,667-668,670,679,692,694,696,705"
qmb\src\qmb\execution\ports.py,qmb,70.23,58.43,622,146,"178,206,217,221,226,315,320,330-343,368,375,389,393,396,398,404,410,446,453,460,496,502,524,527,529,536,542,550,555,562,571,610,619-631,653,656,658,665,671,681,686,690,692,700,705,709,712,721,759,769,775,783,810,813,816,819,822,830,837,843,849,855,867,879,890,900,984,991,997,1003,1041,1047,1050,1053,1056,1059,1066,1074,1080,1088,1091,1094,1096,1131,1145,1149,1186,1219,1229,1239,1249,1261,1270,1279,1281,1289,1304,1324,1330,1339,1349,1358,1388,1391,1405-1408,1413,1415,1417,1425,1439,1441,1443,1452-1453,1455,1479,1496,1518,1540,1551"
qmb\src\qmb\host\adapter.py,qmb,70.45,53.57,60,13,"54,56,58,65,87,90,93,99,101,109,114,122,125"
qml\src\qml\protocol\evidence.py,qml,70.45,59.63,398,94,"84,108-110,127,131-133,135-136,147,162,168,179,181,202,212,218,220,231,258,264-270,285,292,295,298,301,303,305,334,351,370,373,376,379,391,393,401-402,404,409,420,427,453,455,466,471,474,478,489,491,501,508,511,514,523,531,537,544-548,559,567,576,595,606,624,626,633,640,647,650,653,658,661,666,682,684,696,702,709,712,726,732,738,751"
qml\src\qml\protocol\factory.py,qml,70.84,59.15,273,63,"66,69-70,74,76,118-120,126-127,134-137,143-146,152-153,159,163,175,187-195,200-204,209,234,237,240,247,293,296,310,322,341,354,358,368,370,380,428,430,437,451,459,467,469,503,506,529,554"
qml\src\qml\conformance\layer1.py,qml,70.93,63.56,397,98,"124,127,139,157,209,223,231,255,266,284,296,328,334,340,360,372,382,390,448,454,459,465,475,496,517-528,531-535,541,548,558,561,568,578,586-587,597-604,611,615-618,622,630,641,650,657-658,660-662,667,679,689-693,704,706-710,717,719-724,731-733,739-740,748,760"
qmb\src\qmb\data\dukascopy.py,qmb,71.33,50.0,104,20,"95,112,118,125,134,157,160,176,187-191,200-204,206,238"
qmb\src\qmb\execution\financing.py,qmb,71.55,57.29,416,91,"192,199,201,256,266,273,276,285,288,305,317,321,347,364,371,373,379,397,402-404,421,443,463,479,482,494,501,529,536,546,555,570,621,627,634,640,650,657,662,670,677,680,683,686,712,719,750,753,756,759,767,786,789-791,797-799,805,874,894,904-908,919,923,932,939,952,954,959,966,976-978,983-986,997,1009,1023,1030,1040,1046,1052-1054"
qmb\src\qmb\results\render.py,qmb,71.59,55.56,199,45,"208,216,219,222,233,241,247,259-260,263-264,269,275,282,303,311,315,318,339,342,347,350,356,367,369,374,379,385-386,398-399,401,407,418,425,432-433,442-443,450,463-464,476-478"
qmb\src\qmb\execution\slippage.py,qmb,71.64,57.43,328,72,"93,96,133,135,137,164,173,183,190,193,196,199,202,205,208,223,227,249,255,267-269,271,295,298,302,312,364-365,400-401,436-437,472-473,510,518,527,529,537,544,548,557-558,568,586,593,606,615,619,632-633,637-638,647,653,663-665,675-677,684,692,699,706,718-723"
packages\qmf-risk\src\qmf\risk\journal.py,qmf-risk,71.71,58.43,384,85,"206,262,269,275,282,300,309,341,348,359,370,378,384-386,404,456,463,469,476,483,489,495,512-513,519,523,526,528,536,539,541,546,575,587-596,635,642,649,656,662,668,687,691,724,747,771,777,783,789,795,809,844,869,873,898,904,912,935,942,948,957,998,1004,1027,1029,1036,1043,1049,1063,1071,1081,1089,1114,1143,1152,1170"
qmb\src\qmb\execution\cost.py,qmb,71.71,59.04,336,74,"166,175,185,192,198,201,204,207,210,213,215,227,229,232,234,256,260,298,310,329,385-386,421-422,457-458,474,496-499,515,518,521,532,548,568,575,582,584,587,590,608,618,625-627,632-637,643,654,664,672-676,690,703,721,733,745-747,752-753,762,764,770,781"
packages\qmf-risk\src\qmf\risk\exit_record.py,qmf-risk,72.18,57.92,427,90,"221,227,242,251,275,283,341,398,405,408,441,449,456,459,461,467,475,486,494,502,513,519,529,535,541,548,551,581,589,597,606,616,623,637,658,664,671,678,715,722,738,747,782,788,795,804,811,830,836,842,850-851,856,866,875,878,888,926,932,938,978,984,995,997-999,1005-1006,1011,1013,1059,1074,1077,1098,1106,1112-1115,1119-1124,1129,1131,1138,1151,1158"
qmb\src\qmb\ledger\line.py,qmb,72.32,60.44,349,75,"149,156,163,170,173,176,179,186,189,194,200,210,219,242,249,252,278,285,287,295,298,300,308,311,313,323,326,356,363,391,398,401,404,407,410,419,422,432,456,459,462,464,475-479,485,490,497-499,539,552,561,569,583,591,593,640,646,648,656,659,668,678,692,695-696,703,705,713,722,731,748"
qmb\src\qmb\orchestrator\ledger.py,qmb,72.45,63.11,270,63,"73,80,98,112,114,121,124,127,176,179,186,189,196-197,214,219,240-243,246,249,252,255,263,266,272,284,291-292,306-308,336,342,348,354,375,380,393,396,399,410,434,437,461-462,471,486,489,498,501-504,517-518,524,527,540,559,562-563"
qmb\src\qmb\config\replay.py,qmb,72.54,59.57,190,40,"77,84,95,134,187,200,222-225,229,231,236,263,269,275,282,284,291,294,302,332,335,338,351,354,357,376,382,388,394,401,403,464,481,496,502,508,514,521"
qmb\src\qmb\optimize\sampler.py,qmb,72.58,59.15,675,144,"209-210,265,279,282,290,293,301,321,332-333,339,344,347,355,364,423,426,428,435,458,460,462,498,589,604,607,610,619,624,645,652,674,683,695-696,710,715,720,732,737,747,751,761,769,778,785,794,799,818,869,899,909,946,952,989,992,995,997,1025,1034,1088,1090,1092,1094,1120,1129-1133,1169,1177,1180,1217,1220,1223,1225,1232,1238,1241,1244,1247,1264,1282-1286,1292-1294,1299-1300,1314,1319-1321,1326,1338-1339,1341,1376,1387-1396,1404-1410,1417,1419,1430,1435-1438,1453-1465,1471-1474"
packages\qmf-risk\src\qmf\risk\performance.py,qmf-risk,73.09,59.26,336,68,"145,152,155,158,160,169,177,185,215,248,254,260,304,314,326,374,388,394,433,441,447,454,480,486,493,570,577,588,594,601,604,607,614,657,664,677,695-703,726,732,745,796,802,829,836,847,853,872,880,892,901,916,925,943,952-953,955,961,970,982,990"
qml\src\qml\declaration\confluence.py,qml,73.47,65.16,457,101,"132,134,140-146,155,161,214,231,248,252,261,263,265,267,269,275,335,357,360,395,420,427,430,445,469,485,487,489,497,501-505,509,518,524,603,626,633,658,661,664,686-696,708,718,720-721,728-738,741,744-748,758,765,769,773,775,778,791,801,809-810,820-823,825-831"
packages\qmf-risk\src\qmf\risk\control_window.py,qmf-risk,73.66,59.31,468,94,"232,239,246,252,279,304,310,321-322,327,337,377,383,390,397,409,426,435,452,517,519,525,528,556,564,575,583,595,601,656,663,671,679,685,693,699,708,738-740,781,820,826,848,894,901,908,919,924,929,961,969,997,1021,1031,1037,1043,1072,1079,1081,1088,1098-1099,1103,1121,1127,1134,1149,1166,1212-1213,1218-1220,1225-1226,1231-1232,1237,1248,1305,1311,1317,1323,1330,1336,1343,1400,1410,1432,1450,1456,1462,1469"
qmb\src\qmb\data\catalog.py,qmb,73.85,62.96,240,51,"140,143,163,174,181-182,205,215,220,226,254,258,265,276,288,292-293,303,306,324,329-330,332,337-340,391,393,398,400,435,445,456-462,484,491-499,504"
qml\src\qml\conformance\harness.py,qml,73.88,61.36,90,18,"36,45-48,64,75,89,95,121,151,158,164,174,177,184,187,196"
qml\src\qml\declaration\parameters.py,qml,74.2,63.22,326,65,"101,105-111,136-138,170,172,180,187,194,200,208,210,213,249,276,281,287,295,305,314,322,327,335,341,386,399,427,444,453,479,487-490,497,517,520,526,529,531,534,536,539,547,576,579,587-588,590,601,608,624,654,657,664,672,695,707"
qml\src\qml\conformance\slice.py,qml,74.81,57.89,93,17,"79,83,86,94,129,139-146,151,163,166,168"
qmb\src\qmb\sweep\batch.py,qmb,74.88,60.34,302,59,"110,116,130,175,282,287,360,363,366,378,381,389-390,396,416-417,420-421,429-434,456,461,475-476,478,481-482,486-487,491-492,506-512,519,560,570,573,587-588,595,598,615,624,642,644-648,650"
qmb\src\qmb\sweep\rank.py,qmb,75.39,58.24,407,71,"168,171,190,197-201,247,383,399,431,434,437,440,444,449,452,462,508,511,539,542,545,549-550,558,561,595,598,605,607,614,617,654,663,670,686,696,711-717,732,754,768,792,802,819,834,841-843,857,863,876,889,895,906,908,910,919,941,953-955,965-966"
qml\examples\conformant_bot\bot.py,qml,75.51,53.85,72,12,"35,43,46,49,52,55,79,81,106,113,116,118"
qml\src\qml\declaration\versioning.py,qml,75.65,61.76,81,15,"42,66,72,82,88,94,109,115,121,127,148,155,158,175,203"
qmb\src\qmb\orchestrator\log.py,qmb,76.18,60.19,295,53,"104,120,136,159,167,175,191,199,210,218,226-227,234,283,290,297,300,303,310,313,349,397,400,403,419-421,439,444,449,473,487,493-494,529,542,554,557,565,580,586,600,608,614,627-635"
qmb\src\qmb\data\convert.py,qmb,76.6,64.29,33,6,"45,52,62,72,75,96"
qmb\src\qmb\results\ct32.py,qmb,76.97,71.81,540,109,"241,244,257,267,278,284,287,295,329,332,338,341,343,352,366,416,419-420,450,455,457-460,467-468,472,476,479,487-488,495,509-510,523,531,533,539,546-547,553,564,570,577,592,605,620,630-632,647,694-696,701,776,782,792,803-806,816-818,820,831,833-837,841,847,871,874-877,879-885,892-897,911,950,966,989,1000,1015,1022-1023,1033-1034,1041,1061-1062,1074-1077"
qmb\src\qmb\execution\adapters.py,qmb,77.08,37.5,40,6,"142,144-147,151"
packages\qmf-risk\src\qmf\risk\control_action.py,qmf-risk,77.48,65.75,532,90,"292,299,326,405,430,437,443,486,511,517,526,565,571,578,585,667,672,680,689,697,704,720,728,734,741,747,753,760,787,804-806,814,818,824,869,898,948,954,961,969,977,1029,1036,1042,1049,1088,1120,1152,1179,1186,1193,1195,1208-1210,1235,1247,1250,1269,1276,1279,1294,1312,1318,1326,1333,1359,1370,1397,1403,1409,1420,1427,1450,1507,1513,1520,1528,1534,1541,1546,1552,1562,1577,1619,1625,1631,1653-1654"
qmb\src\qmb\robustness\perturbation.py,qmb,77.51,62.37,490,82,"226,249,276,294,298,359,362,365,381,410,415,429,464,491,498,506,535,625,674,708,715,725,737,814-817,869,913,916,923,935,939,950,961,1048,1059,1117-1121,1124,1149,1155,1163,1170,1177,1193,1213,1226,1235,1237-1240,1242,1245-1247,1257,1267,1278,1295,1297,1309,1312,1333-1334,1340-1341,1348-1349,1355,1360,1362,1370,1378,1394,1413,1416,1426"
packages\qmf-data\src\qmf\data\calendar_feed.py,qmf-data,77.6,59.8,273,43,"143-147,154,304,315-316,331,370,376,383,389,404-408,413,416,425,435,494,497,524,557,575,581,612,630,699,704,716,721,740,745,751-753,756-757,766"
qmb\src\qmb\results\measures.py,qmb,77.89,70.14,527,95,"133,139,145,153,155,181,187,238-241,245,275,281,305,351,366,372,379,382,386,389,393,396,401,404,409,446-449,455,460,464,469,485,500,514,534-535,550,559,571,587,599,615,633,635,642,675,697,709,734,747,756,764,785,789,825,833,838,848,857,869,871,873,883-886,891-892,898-899,909,911,913,923-924,930-934,944-946,955-962"
qmb\src\qmb\config\qml_compile.py,qmb,78.14,64.29,127,20,"60,62,67,85,97,102,116,130,139,145,163,168,176,182,185,188,204-205,208,216"
qml\src\qml\conformance\scan.py,qml,78.5,70.59,132,23,"193,212,219,223,226,234-235,304-306,310,312-314,319,335,344-349,362"
qml\src\qml\footprint\manifest.py,qml,78.85,69.44,340,55,"52,97,111,122,169,171,173,182-183,185,191,195,198,209,260,272,274,282,293,316,341,361,368,386,425,432,440-443,445-448,451-452,463,479-481,486,489,495,516,526,530,554,564,568,573,593,595,598,603,609"
qmb\src\qmb\robustness\shuffle.py,qmb,79.15,63.57,354,52,"241,265,268,271,287,308,313,327,441,486,561,563,569,579,589,596,608,620,625,707,713,732,734,744,807,811,839,841,843,853-854,861-862,868-870,877,879,888,897-900,902,913,915,923,931,937,939,942,958"
qmb\src\qmb\execution\binder.py,qmb,79.46,63.33,164,24,"108,159,192,198,201,204,207,210,213,217,225,228,247,249,259,282,348-352,360,391,398"
qmb\src\qmb\config\compiler.py,qmb,79.77,71.15,511,81,"236-238,263,320,335,352,354,362,364,372,374,383,386,389,392,395,400,404,408-410,413,430,438,445,447,501,507,510,545,587,606,615,670,673,676,765,820,827,830,836,868,871,884,887,905,923,931,940,947,971,989,996,1014,1023-1024,1029-1034,1040-1041,1046,1056,1067,1071,1076,1082,1085,1088-1089,1097,1101,1103,1130,1133,1144,1151"
packages\qmf-data\src\qmf\data\backup.py,qmf-data,80.04,69.23,361,58,"353,360,367,374,378,387-388,401-405,413,422-423,430,436,444,484,488,521,544-546,560,565,576,581,596,601,612,616,621,647-648,655,662,670,683-684,691,715,761-763,773-775,827,834-836,844,852,882,905,920,928"
packages\qmf-data\src\qmf\data\ticks.py,qmf-data,80.09,64.71,148,19,"86,88,113,116,129,131,175,178,181,184,248,312,318,324,375,378,380,405,424"
qmb\src\qmb\orchestrator\paths.py,qmb,80.13,80.56,115,23,"69-70,114-115,146,167,170-172,178-179,206-207,235-236,269,277-278,316-317,324-326"
qmb\src\qmb\robustness\walkforward.py,qmb,80.35,67.5,538,80,"284,325,328,331,337,362,372-379,437,483,511,514,517,566,569,572,574,820,826,829,893,935,941,970,1024,1080,1084,1086,1125,1168,1209-1213,1219,1225,1227,1235,1240,1257,1270,1272,1282,1294,1304,1323,1327,1333,1338,1380-1381,1393-1395,1400,1406,1424,1443-1449,1455-1461,1471,1477"
qmb\src\qmb\robustness\significance.py,qmb,80.84,64.86,421,57,"215,226,239,245,314-315,357,366,369,376,399,416,487,548,608,649,661,664,667,691,699,738,844,868,910,917,926,976,1043,1048,1057-1060,1068,1070,1082,1105-1106,1112-1115,1121,1127,1129,1137-1138,1145-1150,1152,1163,1169"
packages\qmf-indicators\src\qmf\indicators\_bench.py,qmf-indicators,81.03,65.62,84,11,"99,104,135,143,148,173,176,181,213,224,229"
qmb\src\qmb\orchestrator\study.py,qmb,81.2,68.42,95,13,"106,108,115,149,162,164,174,182,195-196,200,211,219"
qmb\src\qmb\execution\fidelity.py,qmb,81.39,72.37,155,22,"76,82,89,101,111,144,154,164,178,246,250,269,300,303,314,317,331,347,349,357,365,378"
qmb\src\qmb\execution\handler.py,qmb,81.43,60.0,110,14,"103,119,157,170,173,178,180,183,185,188,196,199,220-221"
qmb\tests\test_orchestrator_paths.py,qmb,81.52,100.0,184,34,"51,55-57,132-135,145-148,176-179,197,202-204,233-236,245-249,268-272"
qmb\src\qmb\data\scenarios.py,qmb,81.8,66.95,316,40,"139,279,286,357,381,384,414,422,426,430,434,452,472,486,494,542,549,562,566,569,573,579,583,616,648,651,658,663,741,761,793,816,818,826,834,846,848,856,868,874"
qmb\src\qmb\optimize\objective.py,qmb,81.83,67.86,503,64,"205,222,244-245,247,249,313,325,329,332-334,346,348,393,410,488,536,544,589,608,737,741,745,748,751,754,795,819,822,825,828-829,839,876,888,895,898,928,937,944,989,1003,1017-1019,1029,1031,1033,1060-1064,1076,1125,1131,1148,1163,1171,1185,1191,1204-1205"
qmb\src\qmb\data\store_taint.py,qmb,81.89,66.28,273,36,"221,226,236,306,314,318,326,335,380,425,458,468,518,554,574,605,611,623,670,736,760,767,835,842,853,859,865,875,877-878,884,891,902-904,909"
qml\src\qml\footprint\horizon.py,qml,81.97,75.0,45,7,"42-47,80"
qmb\src\qmb\execution\risk.py,qmb,82.35,72.73,46,6,"64,66,84,123,126,168"
qmb\src\qmb\results\interpret.py,qmb,82.85,70.59,171,21,"107,110,113,116,119,122,125,147,155,162,191,195,198,216,227,256,266,276,287,291,300"
qmb\src\qmb\results\accounting.py,qmb,83.11,76.92,192,26,"84,96,116,122,132,144,167,186,193,200,202,221,230,237-242,270,272,275,277,308,317,343"
qmb\src\qmb\data\licensing.py,qmb,83.12,67.19,173,19,"115,236-239,252,259,278,301,361,386,394,410,421,428,446-447,454,469"
qmb\tests\test_api_door.py,qmb,83.43,63.89,133,15,"157,192,194,196,199,203-210,216,221"
packages\qmf-data\src\qmf\data\dukascopy.py,qmf-data,83.62,70.83,252,29,"130,157,164,176,193,296,368,380,414-415,442,450,464,500,530,541,551,564,587,598,604,614,617,627,640,698,701,704,707"
qml\src\qml\declaration\bot.py,qml,84.44,77.92,296,36,"111,129,153,187,210,245,248,266,268,276-279,368,391,402,406,424,436,439,446,468,477,480,503,515,526,533,564,600,602,611,621,655,678,685"
qmb\src\qmb\optimize\sensitivity.py,qmb,84.49,72.9,660,72,"461,469-471,582,589,592,595,603,642,666-667,670,673-674,734,740,744,748,752,793,833,842,885,888,975,1033,1036,1064,1112,1142,1155,1195,1200,1212,1223,1250-1251,1261,1288,1303,1313-1314,1320-1322,1328-1331,1337-1341,1346,1356,1367,1377,1403,1408,1417,1424,1440,1463,1477,1485,1513,1533,1539,1550-1551"
qmb\src\qmb\runloop\frontier.py,qmb,84.54,75.81,132,15,"73,99,107,118,141,148,176,191,215,235,279,286,294,300,308"
qmb\src\qmb\optimize\splits.py,qmb,84.57,75.61,229,28,"196,236,382,393,408,412,524,527,585,615-624,630,637,656-662"
qml\src\qml\protocol\state.py,qml,84.98,74.19,151,16,"87,108,110,118,178,185,188,196,216,224,317,320,341,349,379,386"
packages\qmf-data\src\qmf\data\store\engines\sqlite_meta.py,qmf-data,85.0,90.0,90,14,"72-73,121-122,150-151,168-169,189-190,208-209,233-234"
extensions\qmf-calendar-forex\src\qmf\calendar_forex\_provider.py,qmf-calendar-forex,85.25,65.38,96,9,"101,115,118,152,171,178,182,186,188"
qmb\src\qmb\data\generate.py,qmb,85.78,77.13,876,92,"258,261,372,610,631,634,637,643,658,663,731,753,758,768,854,862,889,923,938,986,998,1058,1103,1128,1131,1134,1163,1174,1199,1202,1223,1226,1230,1237,1240,1266,1271,1277,1284,1302,1310,1331,1334-1337,1375,1388,1411,1452,1477,1484,1493,1510-1511,1521,1568,1571,1579,1593-1594,1604,1617,1642,1658,1669,1676,1709,1712,1734,1747,1755,1775,1815,1820,1822,1831,1835,1846,1909,1929,1961,1970,1972,1975,1978-1979,1985,1988,1993,2015,2017"
qml\src\qml\conformance\prediction.py,qml,86.29,81.03,256,29,"107,115,192,228,245,270,285-288,294,310,340-341,382,407-409,419,423,428-430,437-440,444,486"
qmb\tests\test_mcp_door.py,qmb,86.33,59.09,117,10,"170,174-181,185"
qmb\tests\test_cli_refusal.py,qmb,86.53,58.33,169,16,"224-230,246-254"
qmb\src\qmb\optimize\space.py,qmb,86.67,78.26,104,10,"133,138,153,192,211,237,253,257,264,269"
qmb\src\qmb\runloop\loop.py,qmb,86.85,79.88,704,69,"179,195,202,231,242,253,283,326,332,338,354,365,376,379,399,418-422,436,443,501,503,505,507,712,715,770,832,842,872,876,915,919,925,1017,1027,1061,1110,1144,1158,1162,1190,1193,1213,1227,1230,1237,1308,1341,1353,1390,1403,1488,1494,1532,1541,1558,1562,1573,1580,1608,1617,1628,1644-1645,1650-1651"
qmb\src\qmb\runloop\observe.py,qmb,86.93,76.92,205,19,"109,114-118,135,143,149,195,241,249,335,379,383,399,407,410,438"
qmb\src\qmb\doors\cli\render.py,qmb,88.24,80.0,24,2,"35,44"
packages\qmf-data\src\qmf\data\ingest.py,qmf-data,88.28,77.5,210,16,"171,302,323,336,339,440,461,508,512,520,551,554,572,575,595,617"
qmb\src\qmb\doors\mcp\render.py,qmb,88.57,80.0,25,2,"39,48"
packages\qmf-data\src\qmf\data\store\registry_room.py,qmf-data,88.61,86.54,150,16,"65,134,209,212-213,269,275-276,309,321-322,324,368,375-376,389"
qmb\tests\test_qmb_scaffold.py,qmb,88.73,81.82,98,8,"111-113,127,132,154,163,169"
extensions\qmf-calendar-forex\src\qmf\calendar_forex\_registration.py,qmf-calendar-forex,89.53,77.78,68,5,"127,151,198,219,222"
qmb\src\qmb\runloop\warmup.py,qmb,89.72,82.81,150,11,"134,154,183,234,237,244,247,269,280,283,304"
qmb\src\qmb\doors\cli\tree.py,qmb,89.85,84.31,233,18,"231,343-344,377,477,484,491,498,505,514,562,569-570,589,596,600,602,627"
packages\qmf-data\src\qmf\data\store\engines\duckdb_views.py,qmf-data,89.89,100.0,83,9,"74-75,114,161-162,181-182,195-196"
qmb\src\qmb\robustness\contract.py,qmb,90.65,77.27,85,5,"193,218,242,249,317"
qmb\tests\test_cli_autocomplete.py,qmb,90.68,63.16,241,12,"369,371,373,392,394,396,404-406,415-416,419"
packages\qmf-data\src\qmf\data\store\append_store.py,qmf-data,90.91,84.21,105,7,"66,144,176,185,256,290,293"
packages\qmf-indicators\src\qmf\indicators\series.py,qmf-indicators,90.91,84.21,199,13,"165,182,186,206,213,404,445,450,464,472,479,486,493"
packages\qmf-data\src\qmf\data\store\engines\parquet.py,qmf-data,91.04,75.0,59,4,"104,113-114,138"
qmb\tests\test_frontier_clock.py,qmb,91.23,60.0,151,7,"101-104,108,111,117"
qmb\src\qmb\optimize\__init__.py,qmb,91.3,75.0,19,1,383
qmb\src\qmb\robustness\carveout.py,qmb,91.55,78.57,57,3,"151,186,194"
packages\qmf-core\src\qmf\core\_bench.py,qmf-core,91.67,72.22,66,2,"74,113"
packages\qmf-structure\src\qmf\structure\geometry.py,qmf-structure,91.75,86.36,203,12,"91,102,107,116,126,238,259,296,345,490,508,519"
qmb\src\qmb\doors\cli\__init__.py,qmb,92.12,78.33,270,13,"111,258,578-579,784,794,809-814,829"
qml\tests\test_scaffold.py,qml,92.22,87.5,66,4,"89-90,95,106"
qmb\src\qmb\config\fragments.py,qmb,92.56,89.17,243,14,"191,232,333,336,400,452,485,515,527,536,603-604,616-617"
